i1241	00225821-s
i1242	00225912-s
i1243	00226105-s
i1244	00226339-s
i1245	00226434-s
i1246	00226535-a
i1247	00226618-a
i1248	00226891-s
i1249	00227003-a
i1250	00227301-s
i1251	00227507-a
i1252	00228025-s
i1253	00228173-s
i1254	00228294-s
i1255	00228485-s
i1256	00228645-s
i1257	00228876-s
i1258	00228967-s
i1259	00229130-s
i1260	00229227-s
i1261	00229371-s
i1262	00229487-s
i1263	00229630-a
i1264	00229978-s
i1265	00230076-s
i1266	00230208-s
i1267	00230335-a
i1268	00230843-s
i1269	00230940-s
i1270	00231103-s
i1271	00231252-a
i1272	00231591-s
i1273	00231761-a
i1274	00231963-s
i1275	00232068-a
i1276	00232234-a
i1277	00232385-s
i1278	00232620-s
i1279	00232754-s
i1280	00232986-s
i1281	00233151-a
i1282	00233263-a
i1283	00233353-a
i1284	00233442-a
i1285	00233635-s
i1286	00233756-s
i1287	00233925-s
i1288	00234106-a
i1289	00234378-s
i1290	00234522-s
i1291	00234733-s
i1292	00234872-a
i1293	00235239-s
i1294	00235326-s
i1295	00235429-s
i1296	00235571-s
i1297	00235731-s
i1298	00235823-s
i1299	00235913-s
i1300	00235988-s
i1301	00236086-s
i1302	00236200-s
i1303	00236338-s
i1304	00236483-a
i1305	00236652-s
i1306	00236839-a
i1307	00236922-a
i1308	00236989-a
i1309	00237156-s
i1310	00237240-a
i1311	00237788-s
i1312	00237881-s
i1313	00237965-s
i1314	00238037-s
i1315	00238189-s
i1316	00238310-s
i1317	00238400-s
i1318	00238490-s
i1319	00238564-s
i1320	00238636-s
i1321	00238712-s
i1322	00238788-s
i1323	00238862-s
i1324	00238934-s
i1325	00239012-s
i1326	00239090-s
i1327	00239185-s
i1328	00239325-s
i1329	00239444-s
i1330	00239520-s
i1331	00239594-s
i1332	00239668-s
i1333	00239742-s
i1334	00239847-s
i1335	00240008-s
i1336	00240197-a
i1337	00240323-a
i1338	00240417-a
i1339	00240584-s
i1340	00240655-s
i1341	00240842-a
i1342	00241004-s
i1343	00241079-s
i1344	00241260-a
i1345	00241397-a
i1346	00241530-a
i1347	00241672-a
i1348	00241816-a
i1349	00241952-a
i1350	00242293-s
i1351	00242575-s
i1352	00242832-s
i1353	00243039-s
i1354	00243180-a
i1355	00243395-s
i1356	00243515-s
i1357	00243606-a
i1358	00243945-s
i1359	00244054-s
i1360	00244199-s
i1361	00244324-s
i1362	00244410-s
i1363	00244503-a
i1364	00244820-s
i1365	00244958-s
i1366	00245112-s
i1367	00245200-s
i1368	00245319-s
i1369	00245458-s
i1370	00245763-s
i1371	00245860-s
i1372	00245952-a
i1373	00246175-s
i1374	00246348-s
i1375	00246497-s
i1376	00246623-s
i1377	00246727-s
i1378	00246878-s
i1379	00247013-a
i1380	00247247-s
i1381	00247439-a
i1382	00247868-s
i1383	00247993-s
i1384	00248118-s
i1385	00248251-s
i1386	00248560-s
i1387	00248837-s
i1388	00249104-s
i1389	00249303-s
i1390	00249433-a
i1391	00249576-s
i1392	00249721-a
i1393	00250119-s
i1394	00250483-s
i1395	00250659-s
i1396	00250739-s
i1397	00251134-s
i1398	00251373-s
i1399	00251529-s
i1400	00251681-s
i1401	00251809-a
i1402	00252130-s
i1403	00252310-s
i1404	00252498-s
i1405	00252733-s
i1406	00252826-s
i1407	00252954-a
i1408	00253196-s
i1409	00253361-s
i1410	00253469-s
i1411	00253654-s
i1412	00253757-s
i1413	00253869-s
i1414	00254046-s
i1415	00254152-a
i1416	00254296-s
i1417	00254419-s
i1418	00254516-a
i1419	00254615-a
i1420	00254746-a
i1421	00254880-s
i1422	00254983-a
i1423	00255057-a
i1424	00255308-s
i1425	00255453-s
i1426	00255582-s
i1427	00255720-s
i1428	00255918-s
i1429	00256042-s
i1430	00256237-s
i1431	00256453-a
i1432	00256538-s
i1433	00256636-a
i1434	00256883-s
i1435	00257032-s
i1436	00257102-s
i1437	00257232-s
i1438	00257356-s
i1439	00257462-a
i1440	00257579-s
i1441	00257742-a
i1442	00258090-s
i1443	00258255-s
i1444	00258411-s
i1445	00258587-s
i1446	00258797-s
i1447	00258899-s
i1448	00259011-s
i1449	00259098-s
i1450	00259177-s
i1451	00259256-a
i1452	00259329-a
i1453	00259433-a
i1454	00259568-a
i1455	00259820-s
i1456	00259957-s
i1457	00260100-s
i1458	00260323-s
i1459	00260430-a
i1460	00260695-s
i1461	00260780-s
i1462	00260973-s
i1463	00261109-s
i1464	00261245-a
i1465	00261486-s
i1466	00261602-s
i1467	00261735-s
i1468	00261885-s
i1469	00262008-s
i1470	00262124-a
i1471	00262328-s
i1472	00262444-s
i1473	00262529-a
i1474	00262705-s
i1475	00262792-a
i1476	00263463-s
i1477	00263840-s
i1478	00263994-s
i1479	00264178-s
i1480	00264262-s
i1481	00264459-s
i1482	00264570-s
i1483	00264776-a
i1484	00265214-s
i1485	00265314-s
i1486	00265496-s
i1487	00265765-s
i1488	00265989-s
i1489	00266228-s
i1490	00266309-s
i1491	00266420-s
i1492	00266634-a
i1493	00266985-a
i1494	00267145-a
i1495	00267268-s
i1496	00267356-a
i1497	00267452-a
i1498	00267774-s
i1499	00267871-a
